APPNO;Product_Management;MDM_Management
ARBRL;General_Ledger;Finance
ARBRO;General_Ledger;Finance
ARCDL;General_Ledger;Finance
ARCDO;General_Ledger;Finance
AREIO;Current_Account_Engine;Account_Management
ARESL;Current_Account_Engine;Account_Management
ARESS;Current_Account_Engine;Account_Management
ARETL;Current_Account_Engine;Account_Management
ARETO;Current_Account_Engine;Account_Management
AROTL;General_Ledger;Finance
AROTO;General_Ledger;Finance
ARPPO;Reference_Data_Manager;MDM_Management
ASELL;Financial_Markets_Trade_engine;Financial_Markets
ASELO;Financial_Markets_Trade_engine;Financial_Markets
ASPAL;Customer_Reporting;Account_Management
ASPAS;Customer_Reporting;Account_Management
ASPIO;Customer_Reporting;Account_Management
ASTDO;General_Ledger;Finance
ASTMO;Reference_Data_Manager;MDM_Management
ASTMS;Customer_Reporting;Account_Management
ATADL;Current_Account_Engine;Account_Management
ATADO;Current_Account_Engine;Account_Management
ATAHL;Current_Account_Engine;Account_Management
ATAHS;Current_Account_Engine;Account_Management
ATAXL;Current_Account_Engine;Account_Management
ATAXO;Current_Account_Engine;Account_Management
ATDCL;Reference_Data_Manager;MDM_Management
ATDCS;Reference_Data_Manager;MDM_Management
ATMPO;Customer_Reporting;Account_Management
ATRCL;General_ledger;Finance
ATRCS;General_Ledger;Finance
ATRDO;Current_Account_Engine;Account_Management
ATRTL;General_Ledger;Finance
ATRTS;General_ledger;Finance
ATXCL;Current_Account_Engine;Account_Management
ATXCO;Current_Account_Engine;Account_Management
BASWO;Financial_Markets_Trade_engine;Financial_Markets
BATCH;TECHNICAL_KERNEL;TECHNICAL_KERNEL
BBOKS;Financial_Markets_Trade_engine;Financial_Markets
BDLAO;Financial_Markets_Trade_engine;Financial_Markets
BDLGL;Financial_Markets_Trade_engine;Financial_Markets
BDLGO;Financial_Markets_Trade_engine;Financial_Markets
BDLPO;Financial_Markets_Trade_engine;Financial_Markets
BDLTO;Financial_Markets_Trade_engine;Financial_Markets
BICTO;Financial_Markets_Trade_engine;Financial_Markets
BISPO;Financial_Markets_Trade_engine;Financial_Markets
BISSO;Financial_Markets_Trade_engine;Financial_Markets
BITTO;Financial_Markets_Trade_engine;Financial_Markets
BPOTO;Financial_Markets_Trade_engine;Financial_Markets
BPRDO;Financial_Markets_Trade_engine;Financial_Markets
BREDO;Financial_Markets_Trade_engine;Financial_Markets
BREPO;Financial_Markets_Trade_engine;Financial_Markets
BRPIO;Financial_Markets_Trade_engine;Financial_Markets
BSPIO;Financial_Markets_Trade_engine;Financial_Markets
CBFMO;UNUSED;Lending
CC3PL;Financial_Markets_Trade_engine;Financial_Markets
CC3PO;Business_Lending_Engine;Lending
CCBRO;Business_Lending_Engine;Lending
CCDIL;Business_Lending_Engine;Lending
CCDIS;Business_Lending_Engine;Lending
CCFPO;Business_Lending_Engine;Lending
CCGRL;Business_Lending_Engine;Lending
CCGRS;Business_Lending_Engine;Lending
CCMHL;Business_Lending_Engine;Lending
CCMHO;Business_Lending_Engine;Lending
CCOCL;UNUSED;Lending
CCOCO;Business_Lending_Engine;Lending
CCOML;Business_Lending_Engine;Lending
CCOMS;Business_Lending_Engine;Lending
CCORL;Business_Lending_Engine;Lending
CCORO;Business_Lending_Engine;Lending
CCREO;Business_Lending_Engine;Lending
CCRXO;UNUSED;Lending
CCUSO;Financial_Markets_Trade_engine;Financial_Markets
CDFAO;Business_Lending_Engine;Lending
CDIAL;Business_Lending_Engine;Lending
CDIAO;Business_Lending_Engine;Lending
CEXPS;Business_Lending_Engine;Lending
CEXRO;Financial_Markets_Trade_engine;Financial_Markets
CEXSO;Business_Lending_Engine;Lending
CFACL;Business_Lending_Engine;Lending
CFACO;Business_Lending_Engine;Lending
CFACS;Business_Lending_Engine;Lending
CFAIO;Business_Lending_Engine;Lending
CFATO;Business_Lending_Engine;Lending
CFCRO;Business_Lending_Engine;Lending
CFDDL;Business_Lending_Engine;Lending
CFDDO;Business_Lending_Engine;Lending
CFFEO;Business_Lending_Engine;Lending
CFRSL;Business_Lending_Engine;Lending
CFRSO;Business_Lending_Engine;Lending
CFUPO;Business_Lending_Engine;Lending
CFUSO;Business_Lending_Engine;Lending
CFXRO;Business_Lending_Engine;Lending
CGATO;Business_Lending_Engine;Lending
CGUAL;Business_Lending_Engine;Lending
CGUAS;Business_Lending_Engine;Lending
CGUCL;Business_Lending_Engine;Lending
CGUCO;Business_Lending_Engine;Lending
CGURL;Business_Lending_Engine;Lending
CGURO;Business_Lending_Engine;Lending
CHFCO;Business_Lending_Engine;Lending
CMHIO;Business_Lending_Engine;Lending
CMRGL;Business_Lending_Engine;Lending
CMRGO;Business_Lending_Engine;Lending
CMTBL;Business_Lending_Engine;Lending
CMTBO;Business_Lending_Engine;Lending
CMTCO;Financial_Markets_Trade_engine;Financial_Markets
CMTCS;Financial_Markets_Trade_engine;Financial_Markets
CMTIO;Business_Lending_Engine;Lending
CMTLL;Business_Lending_Engine;Lending
CMTLO;Business_Lending_Engine;Lending
COMSO;Business_Lending_Engine;Lending
CPBCO;Financial_Markets_Trade_engine;Financial_Markets
CPBGO;Financial_Markets_Trade_engine;Financial_Markets
CPBPO;Financial_Markets_Trade_engine;Financial_Markets
CPTIL;Business_Lending_Engine;Lending
CPTIO;Business_Lending_Engine;Lending
CREPL;Business_Lending_Engine;Lending
CREPO;Business_Lending_Engine;Lending
CREXO;Business_Lending_Engine;Lending
CRISO;Business_Lending_Engine;Lending
CROCL;Business_Lending_Engine;Lending
CROCO;Business_Lending_Engine;Lending
CRTRO;Business_Lending_Engine;Lending
CRXMO;Financial_Markets_Trade_engine;Financial_Markets
CSCOL;Collateral_Management;Lending
CSCOO;Collateral_Management;Lending
CSECL;Collateral_Management;Lending
CSECS;Collateral_Management;Lending
CSEIO;Collateral_Management;Lending
CSHAL;Financial_Markets_Trade_engine;Financial_Markets
CSHAO;Financial_Markets_Trade_engine;Financial_Markets
CSHCO;Financial_Markets_Trade_engine;Financial_Markets
CSHDS;Financial_Markets_Trade_engine;Financial_Markets
CSHML;Financial_Markets_Trade_engine;Financial_Markets
CSHMO;Financial_Markets_Trade_engine;Financial_Markets
CSHOO;Financial_Markets_Trade_engine;Financial_Markets
CSHRO;Financial_Markets_Trade_engine;Financial_Markets
CSHTL;Financial_Markets_Trade_engine;Financial_Markets
CSHTO;Financial_Markets_Trade_engine;Financial_Markets
CSHVO;Financial_Markets_Trade_engine;Financial_Markets
CSIMS;Business_Lending_Engine;Lending
CSLFO;Business_Lending_Engine;Lending
CSSHL;Financial_Markets_Trade_engine;Financial_Markets
CSSHO;Financial_Markets_Trade_engine;Financial_Markets
DBATO;Instruction_and_Order_Management;Payment_And_Cash_Management
DBILO;Customer_Billing;Account_Management
DCBDO;Payments_Execution_Engine;Payment_And_Cash_Management
DCBMO;Payments_Execution_Engine;Payment_And_Cash_Management
DCBRO;Local_Regulatory_Reporting_Layer;Finance
DCLHO;Payments_Execution_Engine;Payment_And_Cash_Management
DCLTO;Payments_Execution_Engine;Payment_And_Cash_Management
DCNDL;Payments_Execution_Engine;Payment_And_Cash_Management
DCNDO;Payments_Execution_Engine;Payment_And_Cash_Management
DCNIO;Payments_Execution_Engine;Payment_And_Cash_Management
DCNTL;Payments_Execution_Engine;Payment_And_Cash_Management
DCNTO;Payments_Execution_Engine;Payment_And_Cash_Management
DCONO;Payments_Execution_Engine;Payment_And_Cash_Management
DCOVO;Payments_Execution_Engine;Payment_And_Cash_Management
DCPOO;Cash_Management_Engine;Payment_And_Cash_Management
DCTIO;Customer_Billing;Account_Management
DCTRO;Customer_Billing;Account_Management
DDDCL;Instruction_and_Order_Management;Payment_And_Cash_Management
DDDCO;Instruction_and_Order_Management;Payment_And_Cash_Management
DDETO;Payments_Execution_Engine;Payment_And_Cash_Management
DEBFO;Instruction_and_Order_Management;Payment_And_Cash_Management
DEFIN;TECHNICAL_KERNEL;TECHNICAL_KERNEL
DFIDO;Payments_Execution_Engine;Payment_And_Cash_Management
DFIMO;Payments_Execution_Engine;Payment_And_Cash_Management
DFRTO;Payments_Execution_Engine;Payment_And_Cash_Management
DFSCI;Payments_Execution_Engine;Payment_And_Cash_Management
DFSCL;Payments_Execution_Engine;Payment_And_Cash_Management
DFSCO;Payments_Execution_Engine;Payment_And_Cash_Management
DFSII;Payments_Execution_Engine;Payment_And_Cash_Management
DFSIL;Payments_Execution_Engine;Payment_And_Cash_Management
DFSIO;Payments_Execution_Engine;Payment_And_Cash_Management
DGCAL;Payments_Execution_Engine;Payment_And_Cash_Management
DGCAO;Payments_Execution_Engine;Payment_And_Cash_Management
DIPTL;Payments_Execution_Engine;Payment_And_Cash_Management
DIPTO;Payments_Execution_Engine;Payment_And_Cash_Management
DMSTO;Cash_Management_Engine;Payment_And_Cash_Management
DPBDO;Payments_Execution_Engine;Payment_And_Cash_Management
DPFBK;Payments_Execution_Engine;Payment_And_Cash_Management
DPTRL;Payments_Execution_Engine;Payment_And_Cash_Management
DPTRO;Payments_Execution_Engine;Payment_And_Cash_Management
DRDIL;Payments_Execution_Engine;Payment_And_Cash_Management
DRDIO;Payments_Execution_Engine;Payment_And_Cash_Management
DRPTO;Payments_Execution_Engine;Payment_And_Cash_Management
DRSDO;Instruction_and_Order_Management;Payment_And_Cash_Management
DRSMO;Instruction_and_Order_Management;Payment_And_Cash_Management
DSLVO;Cash_Management_Engine;Payment_And_Cash_Management
DSTAO;Payments_Execution_Engine;Payment_And_Cash_Management
DSTIO;Payments_Execution_Engine;Payment_And_Cash_Management
DSTOL;Payments_Execution_Engine;Payment_And_Cash_Management
DSTOO;Payments_Execution_Engine;Payment_And_Cash_Management
DSTSO;Payments_Execution_Engine;Payment_And_Cash_Management
GBTDS;TECHNICAL_KERNEL;TECHNICAL_KERNEL
GBTPS;TECHNICAL_KERNEL;TECHNICAL_KERNEL
GBTRO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
GCNVO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
GMONO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
GMSGS;TECHNICAL_KERNEL;TECHNICAL_KERNEL
GPAIO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
GPARL;TECHNICAL_KERNEL;TECHNICAL_KERNEL
GPARO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
GPRTO;Customer_Reporting;Account_Management
GRTPO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
GSADO;Reference_Data_Manager;MDM_Management
GSAMO;Reference_Data_Manager;MDM_Management
GSBRO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
GSBSO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
GSEML;TECHNICAL_KERNEL;TECHNICAL_KERNEL
GSEMO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
GSWMO;Reference_Data_Manager;MDM_Management
GXMLO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
IACCO;Reconciliation_Engine;Payment_And_Cash_Management
IAUTL;Payments_Execution_Engine;Payment_And_Cash_Management
IAUTO;Payments_Execution_Engine;Payment_And_Cash_Management
IBATO;Current_Account_Engine;Account_Management
IBBDO;UNUSED;Lending
IBDDO;Financial_Markets_Trade_engine;Financial_Markets
IBDHO;Financial_Markets_Trade_engine;Financial_Markets
ICBRO;Financial_Markets_Trade_engine;Financial_Markets
ICNDL;Reconciliation_Engine;Payment_And_Cash_Management
ICNDO;Reconciliation_Engine;Payment_And_Cash_Management
ICNFL;Reference_Data_Manager;MDM_Management
ICNFO;Reconciliation_Engine;Payment_And_Cash_Management
ICNFS;Reference_Data_Manager;MDM_Management
ICOPL;Reconciliation_Engine;Payment_And_Cash_Management
ICOPO;Reconciliation_Engine;Payment_And_Cash_Management
ICVBS;Financial_Markets_Trade_engine;Financial_Markets
IDPLO;General_Ledger;Finance
IERBS;Financial_Markets_Trade_engine;Financial_Markets
IERMO;Financial_Markets_Trade_engine;Financial_Markets
IFASO;Financial_Markets_Trade_engine;Financial_Markets
IFCPO;Financial_Markets_Trade_engine;Financial_Markets
IFCSL;Reconciliation_Engine;Payment_And_Cash_Management
IFCSO;Reconciliation_Engine;Payment_And_Cash_Management
IFFAO;Financial_Markets_Trade_engine;Financial_Markets
IFFCL;Financial_Markets_Trade_engine;Financial_Markets
IFFCO;Financial_Markets_Trade_engine;Financial_Markets
IFFDL;Financial_Markets_Trade_engine;Financial_Markets
IFFDO;Financial_Markets_Trade_engine;Financial_Markets
IFFOO;Financial_Markets_Trade_engine;Financial_Markets
IFFPO;Financial_Markets_Trade_engine;Financial_Markets
IFFTO;Financial_Markets_Trade_engine;Financial_Markets
IFFVO;Financial_Markets_Trade_engine;Financial_Markets
IFPSO;Financial_Markets_Trade_engine;Financial_Markets
IFRAL;Financial_Markets_Trade_engine;Financial_Markets
IFRAO;Financial_Markets_Trade_engine;Financial_Markets
IFRCL;Financial_Markets_Trade_engine;Financial_Markets
IFRCO;Financial_Markets_Trade_engine;Financial_Markets
IFRPL;Financial_Markets_Trade_engine;Financial_Markets
IFRPO;Financial_Markets_Trade_engine;Financial_Markets
IFTCO;Financial_Markets_Trade_engine;Financial_Markets
IFTSO;Financial_Markets_Trade_engine;Financial_Markets
IFUPS;Reconciliation_Engine;Payment_And_Cash_Management
IFXAO;Financial_Markets_Trade_engine;Financial_Markets
IFXCL;Financial_Markets_Trade_engine;Financial_Markets
IFXCO;Financial_Markets_Trade_engine;Financial_Markets
IFXPL;Financial_Markets_Trade_engine;Financial_Markets
IFXPO;Financial_Markets_Trade_engine;Financial_Markets
IGIRO;Financial_Markets_Trade_engine;Financial_Markets
IGLDO;Financial_Markets_Trade_engine;Financial_Markets
IHMCL;Financial_Markets_Trade_engine;Financial_Markets
IHMCS;Financial_Markets_Trade_engine;Financial_Markets
IICSO;Financial_Markets_Trade_engine;Financial_Markets
IIFFO;Financial_Markets_Trade_engine;Financial_Markets
IIFRO;Financial_Markets_Trade_engine;Financial_Markets
IIFXO;Financial_Markets_Trade_engine;Financial_Markets
IILDO;Financial_Markets_Trade_engine;Financial_Markets
IINIO;Current_Account_Engine;Account_Management
IINTL;Current_Account_Engine;Account_Management
IINTO;Current_Account_Engine;Account_Management
IIOPO;Financial_Markets_Trade_engine;Financial_Markets
IIPIO;Financial_Markets_Trade_engine;Financial_Markets
IIRSO;Financial_Markets_Trade_engine;Financial_Markets
ILDAO;Financial_Markets_Trade_engine;Financial_Markets
ILDCL;Reconciliation_Engine;Payment_And_Cash_Management
ILDCO;Reconciliation_Engine;Payment_And_Cash_Management
ILDPL;Financial_Markets_Trade_engine;Financial_Markets
ILDPO;Financial_Markets_Trade_engine;Financial_Markets
ILDTL;Financial_Markets_Trade_engine;Financial_Markets
ILNGL;Financial_Markets_Trade_engine;Financial_Markets
ILNGS;Financial_Markets_Trade_engine;Financial_Markets
ILPAL;Financial_Markets_Trade_engine;Financial_Markets
ILPAO;Financial_Markets_Trade_engine;Financial_Markets
IMAGO;Financial_Markets_Trade_engine;Financial_Markets
INETL;Financial_Markets_Trade_engine;Financial_Markets
INETO;Financial_Markets_Trade_engine;Financial_Markets
INOSL;Financial_Markets_Trade_engine;Financial_Markets
INOSO;Financial_Markets_Trade_engine;Financial_Markets
INVMO;Financial_Markets_Trade_engine;Financial_Markets
IOASO;Financial_Markets_Trade_engine;Financial_Markets
IODUL;Financial_Markets_Trade_engine;Financial_Markets
IODUS;Financial_Markets_Trade_engine;Financial_Markets
IOPCL;Financial_Markets_Trade_engine;Financial_Markets
IOPCO;Financial_Markets_Trade_engine;Financial_Markets
IOPPL;Financial_Markets_Trade_engine;Financial_Markets
IOPPO;Financial_Markets_Trade_engine;Financial_Markets
IOPTL;Financial_Markets_Trade_engine;Financial_Markets
IOPTS;Financial_Markets_Trade_engine;Financial_Markets
IPIBO;Financial_Markets_Trade_engine;Financial_Markets
IPIIO;Financial_Markets_Trade_engine;Financial_Markets
IPMTL;Financial_Markets_Trade_engine;Financial_Markets
IPMTO;Financial_Markets_Trade_engine;Financial_Markets
IPTIL;Financial_Markets_Trade_engine;Financial_Markets
IPTIO;Financial_Markets_Trade_engine;Financial_Markets
IPWDL;Financial_Markets_Trade_engine;Financial_Markets
IPWDO;Financial_Markets_Trade_engine;Financial_Markets
IRCVO;Financial_Markets_Trade_engine;Financial_Markets
IRFRL;Financial_Markets_Trade_engine;Financial_Markets
IRFRO;Financial_Markets_Trade_engine;Financial_Markets
IRSAO;Financial_Markets_Trade_engine;Financial_Markets
IRSCL;Financial_Markets_Trade_engine;Financial_Markets
IRSCO;Financial_Markets_Trade_engine;Financial_Markets
IRSPL;Financial_Markets_Trade_engine;Financial_Markets
IRSPO;Financial_Markets_Trade_engine;Financial_Markets
IRSWL;Financial_Markets_Trade_engine;Financial_Markets
ISAVO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
ISIFO;Financial_Markets_Trade_engine;Financial_Markets
ISIML;Business_Lending_Engine;Lending
ISIMO;Business_Lending_Engine;Lending
ISPIL;Financial_Markets_Trade_engine;Financial_Markets
ISPIO;Financial_Markets_Trade_engine;Financial_Markets
ISTLO;Reconciliation_Engine;Payment_And_Cash_Management
ISTMO;Reconciliation_Engine;Payment_And_Cash_Management
ISWCO;Reference_Data_Manager;MDM_Management
ITCFO;Reconciliation_Engine;Payment_And_Cash_Management
ITECO;Financial_Markets_Trade_engine;Financial_Markets
ITIRO;Financial_Markets_Trade_engine;Financial_Markets
ITITL;Business_Lending_Engine;Lending
ITITO;Business_Lending_Engine;Lending
ITLDO;Business_Lending_Engine;Lending
ITOLL;Reconciliation_Engine;Payment_And_Cash_Management
ITOLO;Reconciliation_Engine;Payment_And_Cash_Management
ITXTO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
IWARL;Financial_Markets_Trade_engine;Financial_Markets
IWARO;Financial_Markets_Trade_engine;Financial_Markets
IWODL;Financial_Markets_Trade_engine;Financial_Markets
IWODO;Financial_Markets_Trade_engine;Financial_Markets
IWSSO;Financial_Markets_Trade_engine;Financial_Markets
LBGRL;TECHNICAL_KERNEL;TECHNICAL_KERNEL
LBGRS;Reference_Data_Manager;MDM_Management
LBIRO;Payments_Execution_Engine;Payment_And_Cash_Management
LBRAL;TECHNICAL_KERNEL;TECHNICAL_KERNEL
LBRAS;Reference_Data_Manager;MDM_Management
LBRCL;Financial_Markets_Trade_engine;Financial_Markets
LBRCS;Financial_Markets_Trade_engine;Financial_Markets
LBROL;Party_Management;MDM_Management
LBROS;Party_Management;MDM_Management
LBSKL;UNUSED;Lending
LBSKS;UNUSED;Lending
LCBNL;Party_Management;MDM_Management
LCBNS;Party_Management;MDM_Management
LCCCL;Reference_Data_Manager;MDM_Management
LCCCS;Reference_Data_Manager;MDM_Management
LCCYL;Reference_Data_Manager;MDM_Management
LCCYS;Reference_Data_Manager;MDM_Management
LCGRL;Reference_Data_Manager;MDM_Management
LCGRS;Reference_Data_Manager;MDM_Management
LCIYL;Reference_Data_Manager;MDM_Management
LCIYS;Reference_Data_Manager;MDM_Management
LCLIL;Reference_Data_Manager;MDM_Management
LCLIS;Reference_Data_Manager;MDM_Management
LCORO;Party_Management;MDM_Management
LCPSL;Party_Management;MDM_Management
LCPSS;Party_Management;MDM_Management
LCRYL;Reference_Data_Manager;MDM_Management
LCRYS;Reference_Data_Manager;MDM_Management
LCSTL;Reference_Data_Manager;MDM_Management
LCSTS;Reference_Data_Manager;MDM_Management
LCTIO;Party_Management;MDM_Management
LCTPL;Party_Management;MDM_Management
LCTPS;Party_Management;MDM_Management
LCTSL;Party_Management;MDM_Management
LCTSO;Party_Management;MDM_Management
LEBAO;Party_Management;MDM_Management
LELCL;Party_Management;MDM_Management
LELCS;Party_Management;MDM_Management
LELIO;Party_Management;MDM_Management
LGRDL;Reference_Data_Manager;MDM_Management
LGRDO;Reference_Data_Manager;MDM_Management
LGXFL;Reference_Data_Manager;MDM_Management
LGXFO;Reference_Data_Manager;MDM_Management
LHOLL;Reference_Data_Manager;MDM_Management
LHOLO;Reference_Data_Manager;MDM_Management
LPHIO;Party_Management;MDM_Management
LPHYL;Party_Management;MDM_Management
LPHYS;Party_Management;MDM_Management
LPMML;TECHNICAL_KERNEL;TECHNICAL_KERNEL
LPRCL;TECHNICAL_KERNEL;TECHNICAL_KERNEL
LPRCO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
LPRDL;Product_Management;MDM_Management
LPRDS;Product_Management;MDM_Management
LPRFS;General_Ledger;Finance
LPSIO;Party_Management;MDM_Management
LPSNL;Party_Management;MDM_Management
LPSNS;Party_Management;MDM_Management
LRCEL;General_Ledger;Finance
LRCEO;General_Ledger;Finance
LRCES;General_Ledger;Finance
LRCLL;Reference_Data_Manager;MDM_Management
LRESS;Reference_Data_Manager;MDM_Management
LSUPL;General_Ledger;Finance
LSUPS;General_Ledger;Finance
LTARO;Payments_Execution_Engine;Payment_And_Cash_Management
MNDEF;TECHNICAL_KERNEL;TECHNICAL_KERNEL
NWSMN;TECHNICAL_KERNEL;TECHNICAL_KERNEL
PRNTR;TECHNICAL_KERNEL;TECHNICAL_KERNEL
PRSIO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
PRSNL;TECHNICAL_KERNEL;TECHNICAL_KERNEL
RCHDS;Payments_Execution_Engine;Payment_And_Cash_Management
RCHQS;Payments_Execution_Engine;Payment_And_Cash_Management
RCHRO;Payments_Execution_Engine;Payment_And_Cash_Management
REFFL;Reference_Data_Manager;MDM_Management
RPDEF;TECHNICAL_KERNEL;TECHNICAL_KERNEL
RPSCH;TECHNICAL_KERNEL;TECHNICAL_KERNEL
RSTRT;TECHNICAL_KERNEL;TECHNICAL_KERNEL
SECIO;TECHNICAL_KERNEL;TECHNICAL_KERNEL
SECRL;TECHNICAL_KERNEL;TECHNICAL_KERNEL
SECUR;TECHNICAL_KERNEL;TECHNICAL_KERNEL
TSHNO;Reference_Data_Manager;MDM_Management
XFXAS;General_Ledger;Finance
XFXCO;General_Ledger;Finance
XFXTO;General_Ledger;Finance
XGBAO;General_Ledger;Finance
XGBUL;General_Ledger;Finance
XGBUO;General_Ledger;Finance
XGDCL;General_Ledger;Finance
XGDCS;General_Ledger;Finance
XGMVL;General_Ledger;Finance
XGMVO;General_Ledger;Finance
XGPAL;General_Ledger;Finance
XGPAO;General_Ledger;Finance
XGPML;General_Ledger;Finance
XGPMO;General_Ledger;Finance
XHVBO;General_Ledger;Finance
